   ,SUBURB           ,ADDRESS                                                           ,bedroom_count,Type          ,dwelling_type          ,sold_price,Method        ,agency_name                                                  ,Date Sold ,postcode,Population,Distance from CBD,Hospital,School,Super Market,latitude           ,longitude
13 ,BONDI BEACH      ,"9/352 Bondi Road, Bondi Beach"                                   ,2            ,u             ,Apartment / Unit / Flat,1380000.0 ,others        ,Phillips Pantzer Donnelley                                   ,14/05/2018,2026    ,11653     ,6.8              ,0       ,3     ,0           ,-33.89526          ,151.2722
14 ,BONDI JUNCTION   ,"40 Kenilworth Street, Bondi Junction"                            ,5            ,h             ,House                  ,2800000.0 ,Auction       ,Sydney Sotheby's International Realty                        ,14/05/2018,2022    ,9440      ,4.7              ,0       ,2     ,0           ,-33.8908844        ,151.258453
15 ,CAMBRIDGE GARDENS,Cambridge Gardens                                                 ,4            ,h             ,House                  ,710000.0  ,Private Treaty,Response Real Estate Penrith                                 ,14/05/2018,2747    ,2017      ,47.2             ,0       ,0     ,3           ,-33.738            ,150.721
16 ,CAMBRIDGE PARK   ,"72 College Street, Cambridge Park"                               ,2            ,h             ,House                  ,627500.0  ,Private Treaty,PRDnationwide Penrith                                        ,14/05/2018,2747    ,6727      ,46.3             ,0       ,3     ,0           ,-33.7505379        ,150.722
17 ,CAMPERDOWN       ,"23 Marmion Street, Camperdown"                                   ,3            ,h             ,House                  ,1555000.0 ,Auction       ,Ray White Riverwood                                          ,14/05/2018,2050    ,10342     ,3.6              ,1       ,2     ,0           ,-33.892807         ,151.173508
18 ,CASTLE COVE      ,"17 Neerim Road, Castle Cove"                                     ,7            ,h             ,House                  ,15050000.0,Private Treaty,Shead Property                                               ,14/05/2018,2069    ,2557      ,9.2              ,0       ,1     ,0           ,-33.7811623        ,151.2106
19 ,CENTENNIAL PARK  ,"15/121-125 Cook Road, Centennial Park"                           ,2            ,u             ,Apartment / Unit / Flat,1065000.0 ,Auction       ,Ray White at The Entertainment Quarter                       ,14/05/2018,2021    ,2373      ,3.8              ,0       ,0     ,0           ,-33.89512          ,151.229126
20 ,COOGEE           ,"7/155-159 Dolphin Street, Coogee"                                ,1            ,u             ,Apartment / Unit / Flat,1070000.0 ,Private Treaty,N G Farah Pty Ltd                                            ,14/05/2018,2034    ,15215     ,7.4              ,0       ,2     ,0           ,-33.918746899999995,151.257828
21 ,CROYDON PARK     ,"12/1 Fabos Place, Croydon Park"                                  ,1            ,u             ,Apartment / Unit / Flat,445000.0  ,Private Treaty,Rich & Oliva                                                 ,14/05/2018,2133    ,11014     ,9.6              ,0       ,2     ,0           ,-33.89609          ,151.11201499999999
22 ,DARLING POINT    ,"9/38 Darling Point Road, Darling Point"                          ,3            ,h             ,Villa                  ,2670000.0 ,Auction       ,Ray White Double Bay                                         ,14/05/2018,2027    ,4192      ,2.8              ,0       ,0     ,0           ,-33.8731           ,151.23735
23 ,DEE WHY          ,"32/34-36 The Crescent, Dee Why"                                  ,2            ,u             ,Apartment / Unit / Flat,750000.0  ,Private Treaty,LJ Hooker Dee Why                                            ,14/05/2018,2099    ,21518     ,14.6             ,0       ,4     ,0           ,-33.7565727        ,151.29155
24 ,EDENSOR PARK     ,"84 Boomerang Road, Edensor Park"                                 ,3            ,h             ,House                  ,850000.0  ,Private Treaty,Century 21 Bossley Park                                      ,14/05/2018,2176    ,9772      ,30.7             ,0       ,2     ,0           ,-33.881324799999994,150.886078
25 ,EDGECLIFF        ,"52/365a Edgecliff Road, Edgecliff"                               ,2            ,u             ,Apartment / Unit / Flat,855000.0  ,Auction       ,BresicWhitney Darlinghurst                                   ,14/05/2018,2027    ,2580      ,2.9              ,0       ,1     ,2           ,-33.87940220000001 ,151.2389
26 ,ELIZABETH BAY    ,"15 Greenknowe Avenue, Elizabeth Bay"                             ,3            ,t             ,Townhouse              ,3400000.0 ,Private Treaty,Ray White Elizabeth Bay                                      ,14/05/2018,2011    ,5215      ,1.9              ,0       ,0     ,0           ,-33.8718529        ,151.226822
27 ,ELIZABETH BAY    ,"15 Greenknowe Avenue, Elizabeth Bay"                             ,3            ,t             ,Townhouse              ,3400000.0 ,Private Treaty,Ray White Elizabeth Bay                                      ,14/05/2018,2011    ,5215      ,1.9              ,0       ,0     ,0           ,-33.8718529        ,151.226822
28 ,ERSKINEVILLE     ,"10307/177-219 Mitchell Road, Erskineville"                       ,1            ,u             ,Apartment / Unit / Flat,655000.0  ,Private Treaty,Park Properties                                              ,14/05/2018,2043    ,8014      ,4.2              ,0       ,2     ,0           ,-33.9065971        ,151.186127
29 ,ERSKINEVILLE     ,"16305/177-219 Mitchell Road, Erskineville"                       ,2            ,u             ,Apartment / Unit / Flat,970000.0  ,Private Treaty,Park Properties                                              ,14/05/2018,2043    ,8014      ,4.2              ,0       ,2     ,0           ,-33.9065971        ,151.186127
30 ,ERSKINEVILLE     ,"10307/177-219 Mitchell Road, Erskineville"                       ,1            ,u             ,Apartment / Unit / Flat,655000.0  ,Private Treaty,Park Properties                                              ,14/05/2018,2043    ,8014      ,4.2              ,0       ,2     ,0           ,-33.9065971        ,151.186127
31 ,ERSKINEVILLE     ,"16305/177-219 Mitchell Road, Erskineville"                       ,2            ,u             ,Apartment / Unit / Flat,970000.0  ,Private Treaty,Park Properties                                              ,14/05/2018,2043    ,8014      ,4.2              ,0       ,2     ,0           ,-33.9065971        ,151.186127
32 ,FAIRLIGHT        ,"4/30 Rosedale Avenue, Fairlight"                                 ,2            ,u             ,Apartment / Unit / Flat,957000.0  ,Private Treaty,Clarke & Humel Property                                      ,14/05/2018,2094    ,5841      ,9.8              ,0       ,0     ,0           ,-33.79620739999999 ,151.2703
33 ,FRESHWATER       ,"60 Wyadra Avenue, Freshwater"                                    ,4            ,h             ,House                  ,2510000.0 ,Auction       ,Belle Property - Manly                                       ,14/05/2018,2096    ,8862      ,15.0             ,0       ,4     ,0           ,-33.772884399999995,151.28291299999998
34 ,GLADESVILLE      ,"103/161 Victoria Road, Gladesville"                              ,1            ,u             ,Apartment / Unit / Flat,640000.0  ,Private Treaty,BresicWhitney Hunters Hill                                   ,14/05/2018,2111    ,11826     ,8.1              ,0       ,6     ,0           ,-33.834070000000004,151.12799099999998
35 ,GLADESVILLE      ,"3/2 Harvard Street, Gladesville"                                 ,2            ,u             ,Apartment / Unit / Flat,640000.0  ,Private Treaty,Ray White Gladesville & Ryde                                 ,14/05/2018,2111    ,11826     ,8.1              ,0       ,6     ,0           ,-33.8285446        ,151.12825
36 ,GLADESVILLE      ,"103/161 Victoria Road, Gladesville"                              ,1            ,u             ,Apartment / Unit / Flat,640000.0  ,Private Treaty,BresicWhitney Hunters Hill                                   ,14/05/2018,2111    ,11826     ,8.1              ,0       ,6     ,0           ,-33.834070000000004,151.12799099999998
37 ,GLADESVILLE      ,"3/2 Harvard Street, Gladesville"                                 ,2            ,u             ,Apartment / Unit / Flat,640000.0  ,Private Treaty,Ray White Gladesville & Ryde                                 ,14/05/2018,2111    ,11826     ,8.1              ,0       ,6     ,0           ,-33.8285446        ,151.12825
38 ,GLEBE            ,"9/1 Charlton Way, Glebe"                                         ,2            ,u             ,Apartment / Unit / Flat,760000.0  ,Private Treaty,Laing+Simmons Glebe                                          ,14/05/2018,2037    ,11534     ,2.3              ,0       ,4     ,0           ,-33.8753929        ,151.184341
39 ,GLEBE            ,"9/1 Charlton Way, Glebe"                                         ,2            ,u             ,Apartment / Unit / Flat,760000.0  ,Private Treaty,Laing+Simmons Glebe                                          ,14/05/2018,2037    ,11534     ,2.3              ,0       ,4     ,0           ,-33.8753929        ,151.184341
40 ,GLENDENNING      ,"25 Dublin Street, Glendenning"                                   ,3            ,h             ,House                  ,615000.0  ,Private Treaty,Property Inside Out                                          ,14/05/2018,2761    ,5125      ,35.5             ,0       ,2     ,0           ,-33.741690000000006,150.85974099999999
41 ,GLENMORE PARK    ,"23 Woodi Close, Glenmore Park"                                   ,3            ,h             ,House                  ,629000.0  ,Private Treaty,PRDnationwide Penrith                                        ,14/05/2018,2745    ,23002     ,54.6             ,0       ,7     ,0           ,-33.7876625        ,150.677078
42 ,GLENWOOD         ,"3 Crestview Drive, Glenwood"                                     ,4            ,h             ,House                  ,1339500.0 ,Private Treaty,Response Real Estate Glenwood                                ,14/05/2018,2768    ,16128     ,29.9             ,0       ,5     ,0           ,-33.7460938        ,150.947327
43 ,GORDON           ,"21 Vale Street, Gordon"                                          ,3            ,h             ,House                  ,1580000.0 ,others        ,Century 21 Northside                                         ,14/05/2018,2072    ,7666      ,13.4             ,0       ,3     ,0           ,-33.7559624        ,151.145447
44 ,HILLSDALE        ,"6/10 Templeman Crescent, Hillsdale"                              ,2            ,u             ,Apartment / Unit / Flat,555000.0  ,Private Treaty,Mint360property | Sales & Auctions                           ,14/05/2018,2036    ,5505      ,9.8              ,0       ,0     ,0           ,-33.94922639999999 ,151.22753899999998
45 ,KINGS PARK       ,"22 Marcus Street, Kings Park"                                    ,3            ,h             ,House                  ,688000.0  ,Private Treaty,Norwes Property                                              ,14/05/2018,2148    ,3453      ,31.0             ,0       ,0     ,0           ,-33.7403336        ,150.903076
46 ,KINGSWOOD        ,"10/61-62 Park Avenue, Kingswood"                                 ,2            ,u             ,Apartment / Unit / Flat,340000.0  ,Private Treaty,Response Real Estate Penrith                                 ,14/05/2018,2747    ,9301      ,46.5             ,1       ,5     ,0           ,-33.7582855        ,150.723984
47 ,LEICHHARDT       ,"29 North Street, Leichhardt"                                     ,3            ,h             ,House                  ,1350000.0 ,Auction       ,BresicWhitney Glebe                                          ,14/05/2018,2040    ,14622     ,5.0              ,0       ,6     ,0           ,-33.87881470000001 ,151.153412
48 ,LEICHHARDT       ,"79 Francis Street, Leichhardt"                                   ,2            ,h             ,House                  ,1100000.0 ,others        ,Hudson McHugh                                                ,14/05/2018,2040    ,14622     ,5.0              ,0       ,6     ,0           ,-33.87677          ,151.15458700000002
49 ,LEICHHARDT       ,"29 North Street, Leichhardt"                                     ,3            ,h             ,House                  ,1350000.0 ,Auction       ,BresicWhitney Glebe                                          ,14/05/2018,2040    ,14622     ,5.0              ,0       ,6     ,0           ,-33.87881470000001 ,151.153412
50 ,LEICHHARDT       ,"79 Francis Street, Leichhardt"                                   ,2            ,h             ,House                  ,1100000.0 ,others        ,Hudson McHugh                                                ,14/05/2018,2040    ,14622     ,5.0              ,0       ,6     ,0           ,-33.87677          ,151.15458700000002
51 ,MAROUBRA         ,"69 Haig, Maroubra"                                               ,3            ,h             ,House                  ,1730000.0 ,Private Treaty,Zimmermann Agency                                            ,14/05/2018,2035    ,30686     ,9.4              ,0       ,7     ,0           ,-33.9439735        ,151.245667
52 ,MARSFIELD        ,"7/9 Busaco  Road, Marsfield"                                     ,2            ,h             ,Villa                  ,770000.0  ,Private Treaty,Lynk Realty                                                  ,14/05/2018,2122    ,13295     ,13.9             ,0       ,1     ,0           ,-33.764            ,151.113571
53 ,MARSFIELD        ,"7/9 Busaco  Road, Marsfield"                                     ,2            ,h             ,Villa                  ,770000.0  ,Private Treaty,Lynk Realty                                                  ,14/05/2018,2122    ,13295     ,13.9             ,0       ,1     ,0           ,-33.764            ,151.113571
54 ,MASCOT           ,"37/24-28 John Street, Mascot"                                    ,2            ,u             ,Apartment / Unit / Flat,830000.0  ,Private Treaty,MyPlace Estate Agents                                        ,14/05/2018,2020    ,14771     ,7.2              ,0       ,4     ,0           ,-33.923362700000006,151.18786599999999
55 ,MATRAVILLE       ,"B23/495-503 Bunnerong  Road, Matraville"                         ,1            ,u             ,Apartment / Unit / Flat,685000.0  ,Private Treaty,Belle Property Newtown                                       ,14/05/2018,2036    ,9804      ,10.3             ,0       ,3     ,0           ,-33.9575729        ,151.231415
56 ,MOUNT COLAH      ,"5/54 Telopea Street, Mount Colah"                                ,3            ,t             ,Townhouse              ,953000.0  ,Private Treaty,Belle Property Hornsby                                       ,14/05/2018,2079    ,7096      ,23.4             ,0       ,1     ,0           ,-33.6688232        ,151.11978100000002
57 ,NEWPORT          ,"5/377 Barrenjoey Road, Newport"                                  ,2            ,u             ,Apartment / Unit / Flat,980000.0  ,Auction       ,LJ Hooker Newport                                            ,14/05/2018,2106    ,9303      ,24.9             ,0       ,1     ,0           ,-33.653915399999995,151.321472
58 ,NEWPORT          ,"38 Nullaburra Road, Newport"                                     ,5            ,h             ,House                  ,2000000.0 ,Private Treaty,Wiseberry Mona Vale                                          ,14/05/2018,2106    ,9303      ,24.9             ,0       ,1     ,0           ,-33.65233610000001 ,151.316666
59 ,NORTH BALGOWLAH  ,"8 Wonga Street, North Balgowlah"                                 ,4            ,h             ,House                  ,2400000.0 ,Auction       ,Raine & Horne Forestville - Frenchs Forest                   ,14/05/2018,2093    ,3664      ,9.8              ,0       ,1     ,0           ,-33.78412          ,151.24942
60 ,PENRITH          ,"11 Orana Avenue, Penrith"                                        ,3            ,h             ,House                  ,610000.0  ,Private Treaty,Dukes Estate Agents Penrith                                  ,14/05/2018,2750    ,13295     ,49.2             ,1       ,7     ,0           ,-33.74437          ,150.712219
61 ,POTTS POINT      ,"40/20 Macleay Street, Potts Point"                               ,2            ,u             ,Apartment / Unit / Flat,1200000.0 ,Private Treaty,Richardson & Wrench Elizabeth Bay / Potts Point              ,14/05/2018,2011    ,9425      ,1.7              ,0       ,2     ,0           ,-33.869479999999996,151.22583
62 ,POTTS POINT      ,"40/20 Macleay Street, Potts Point"                               ,2            ,u             ,Apartment / Unit / Flat,1200000.0 ,Private Treaty,Richardson & Wrench Elizabeth Bay / Potts Point              ,14/05/2018,2011    ,9425      ,1.7              ,0       ,2     ,0           ,-33.869479999999996,151.22583
63 ,PYRMONT          ,"606/1-9 Pyrmont Bridge Road, Pyrmont"                            ,3            ,u             ,Apartment / Unit / Flat,1450000.0 ,Private Treaty,Kho & Lee Property Group                                     ,14/05/2018,2009    ,12813     ,1.3              ,0       ,0     ,0           ,-33.8702           ,151.19718899999998
64 ,PYRMONT          ,"606/1-9 Pyrmont Bridge Road, Pyrmont"                            ,3            ,u             ,Apartment / Unit / Flat,1450000.0 ,Private Treaty,Kho & Lee Property Group                                     ,14/05/2018,2009    ,12813     ,1.3              ,0       ,0     ,0           ,-33.8702           ,151.19718899999998
65 ,PYRMONT          ,"606/1-9 Pyrmont Bridge Road, Pyrmont"                            ,3            ,u             ,Apartment / Unit / Flat,1450000.0 ,Private Treaty,Kho & Lee Property Group                                     ,14/05/2018,2009    ,12813     ,1.3              ,0       ,0     ,0           ,-33.8702           ,151.19718899999998
66 ,QUAKERS HILL     ,"3/35 Douglas Road, Quakers Hill"                                 ,4            ,h             ,House                  ,672000.0  ,Private Treaty,Australian Real Estate Quakers Hill                          ,14/05/2018,2763    ,27075     ,33.8             ,0       ,8     ,0           ,-33.72858          ,150.88188200000002
67 ,RANDWICK         ,"8/1 Dutruc  Street, Randwick"                                    ,4            ,h             ,House                  ,2200000.0 ,others        ,Phillips Pantzer Donnelley                                   ,14/05/2018,2031    ,29990     ,6.0              ,3       ,13    ,0           ,-33.9098473        ,151.245331
68 ,RYDE             ,"15 Eileen Street, Ryde"                                          ,4            ,h             ,House                  ,1585000.0 ,Private Treaty,Snowden Parkes Real Estate                                   ,14/05/2018,2112    ,26501     ,11.2             ,1       ,9     ,0           ,-33.805687         ,151.112946
69 ,RYDE             ,"15 Eileen Street, Ryde"                                          ,4            ,h             ,House                  ,1585000.0 ,Private Treaty,Snowden Parkes Real Estate                                   ,14/05/2018,2112    ,26501     ,11.2             ,1       ,9     ,0           ,-33.805687         ,151.112946
70 ,SCOTLAND ISLAND  ,"28 Richard Rd, Scotland Island"                                  ,3            ,h             ,House                  ,665000.0  ,Private Treaty,PMC Hill Real Estate                                         ,14/05/2018,2105    ,579       ,26.2             ,0       ,0     ,0           ,-33.641983         ,151.29071000000002
71 ,ST IVES          ,"9 Kitchener Street, St Ives"                                     ,4            ,h             ,House                  ,2250000.0 ,Private Treaty,Chadwick Real Estate Turramurra                              ,14/05/2018,2075    ,17301     ,15.8             ,0       ,10    ,0           ,-33.7130852        ,151.175751
72 ,SURRY HILLS      ,"313/174-186 Goulburn Street, Surry Hills"                        ,1            ,u             ,Apartment / Unit / Flat,800000.0  ,Private Treaty,Ray White City South                                         ,14/05/2018,2010    ,16416     ,2.5              ,0       ,7     ,0           ,-33.8789253        ,151.212784
73 ,SURRY HILLS      ,"313/174-186 Goulburn Street, Surry Hills"                        ,1            ,u             ,Apartment / Unit / Flat,800000.0  ,Private Treaty,Ray White City South                                         ,14/05/2018,2010    ,16416     ,2.5              ,0       ,7     ,0           ,-33.8789253        ,151.212784
74 ,TELOPEA          ,"23 & 23A Felton Street, Telopea"                                 ,5            ,h             ,House                  ,2880000.0 ,Private Treaty,First National West Ryde                                     ,14/05/2018,2117    ,5432      ,16.9             ,0       ,1     ,0           ,-33.79061          ,151.02200000000002
75 ,THORNLEIGH       ,"9 Morris Avenue, Thornleigh"                                     ,5            ,h             ,House                  ,1900000.0 ,Auction       ,Ray White Pennant Hills                                      ,14/05/2018,2120    ,8467      ,19.1             ,0       ,2     ,0           ,-33.7266464        ,151.071762
76 ,THORNLEIGH       ,"9 Morris Avenue, Thornleigh"                                     ,5            ,h             ,House                  ,1900000.0 ,Auction       ,Ray White Pennant Hills                                      ,14/05/2018,2120    ,8467      ,19.1             ,0       ,2     ,0           ,-33.7266464        ,151.071762
77 ,VAUCLUSE         ,"6/15-17 Captain Pipers Road, Vaucluse"                           ,2            ,u             ,Apartment / Unit / Flat,1010000.0 ,Auction       ,McGrath Double Bay                                           ,14/05/2018,2030    ,9333      ,6.6              ,0       ,1     ,0           ,-33.8634949        ,151.27742
78 ,WAHROONGA        ,"5 Sutherland Avenue, Wahroonga"                                  ,6            ,h             ,House                  ,2960000.0 ,Private Treaty,McGrath Wahroonga                                            ,14/05/2018,2076    ,17364     ,18.7             ,1       ,13    ,0           ,-33.7192345        ,151.121826
79 ,WAITARA          ,"102/36 Romsey Street, Waitara"                                   ,2            ,u             ,Apartment / Unit / Flat,670000.0  ,Private Treaty,McGrath Hornsby                                              ,14/05/2018,2077    ,5939      ,19.9             ,0       ,2     ,0           ,-33.7063675        ,151.103943
80 ,WARRIEWOOD       ,"28 Honeyeater Grove, Warriewood"                                 ,3            ,t             ,Townhouse              ,1450000.0 ,Private Treaty,Raine & Horne Mona Vale                                      ,14/05/2018,2102    ,7499      ,20.6             ,0       ,0     ,0           ,-33.6877174        ,151.2917
81 ,WARRIEWOOD       ,"4/239 Macpherson Street, Warriewood"                             ,3            ,t             ,Townhouse              ,1120000.0 ,Private Treaty,Stone Real Estate Mona Vale                                  ,14/05/2018,2102    ,7499      ,20.6             ,0       ,0     ,0           ,-33.681667299999994,151.28743
82 ,WARRIEWOOD       ,"258/18 Boondah Road, Warriewood"                                 ,1            ,u             ,Apartment / Unit / Flat,720000.0  ,Private Treaty,Stone Real Estate Mona Vale                                  ,14/05/2018,2102    ,7499      ,20.6             ,0       ,0     ,0           ,-33.6909676        ,151.295853
83 ,WHALAN           ,"16 Aitape Cres, Whalan"                                          ,4            ,h             ,House                  ,515000.0  ,Private Treaty,Ray White Mt Druitt                                          ,14/05/2018,2770    ,5975      ,38.6             ,0       ,0     ,0           ,-33.75575          ,150.802948
84 ,ZETLAND          ,"103/2 Victoria Park Parade, Zetland"                             ,1            ,u             ,Apartment / Unit / Flat,660000.0  ,Private Treaty,Morton Green Square                                          ,14/05/2018,2017    ,10072     ,4.8              ,0       ,0     ,0           ,-33.9042625        ,151.21176100000002
85 ,ZETLAND          ,"329/20 Gadigal  Avenue, Zetland"                                 ,3            ,u             ,Apartment / Unit / Flat,1255000.0 ,Private Treaty,Focus Estate Agents                                          ,14/05/2018,2017    ,10072     ,4.8              ,0       ,0     ,0           ,-33.9043159        ,151.213165
86 ,ACACIA GARDENS   ,"46 Somersby Circuit, Acacia Gardens"                             ,3            ,t             ,Townhouse              ,700000.0  ,Private Treaty,LJ Hooker Stanhope Gardens                                   ,15/05/2018,2763    ,3799      ,31.7             ,0       ,1     ,0           ,-33.73342          ,150.919144
87 ,ALEXANDRIA       ,"209 Belmont, Alexandria"                                         ,3            ,h             ,House                  ,1500000.0 ,Private Treaty,Ee Real Estate                                               ,15/05/2018,2015    ,8264      ,3.5              ,0       ,3     ,0           ,-33.90328220000001 ,151.191833
88 ,ARNCLIFFE        ,"48 Wollongong Road, Arncliffe"                                   ,2            ,h             ,House                  ,950000.0  ,others        ,Prestige Property Group Realty                               ,15/05/2018,2205    ,10590     ,9.5              ,0       ,6     ,0           ,-33.9352264        ,151.14523300000002
89 ,BALGOWLAH        ,"2A/24 Lower Beach Street, Balgowlah"                             ,4            ,t             ,Townhouse              ,1850000.0 ,Private Treaty,McGrath Manly                                                ,15/05/2018,2093    ,7963      ,9.6              ,0       ,4     ,0           ,-33.7985039        ,151.2603
90 ,BALGOWLAH        ,"2A/24 Lower Beach Street, Balgowlah"                             ,4            ,t             ,Townhouse              ,1850000.0 ,Private Treaty,McGrath Manly                                                ,15/05/2018,2093    ,7963      ,9.6              ,0       ,4     ,0           ,-33.7985039        ,151.2603
91 ,BALMAIN EAST     ,"4/123A Darling Street, Balmain East"                             ,5            ,h             ,House                  ,3700000.0 ,others        ,Belle Property Balmain                                       ,15/05/2018,2041    ,1937      ,1.8              ,0       ,1     ,0           ,-33.8574867        ,151.189941
92 ,BALMAIN EAST     ,"4/123A Darling Street, Balmain East"                             ,5            ,h             ,House                  ,3700000.0 ,others        ,Belle Property Balmain                                       ,15/05/2018,2041    ,1937      ,1.8              ,0       ,1     ,0           ,-33.8574867        ,151.189941
93 ,BANKSTOWN        ,"79 Sir Joseph Banks Street, Bankstown"                           ,5            ,h             ,House                  ,1490000.0 ,Private Treaty,Century 21 Project Specialists                               ,15/05/2018,2200    ,32116     ,16.9             ,1       ,13    ,0           ,-33.908721899999996,151.04007
94 ,BIDWILL          ,"11 Tapp Pl, Bidwill"                                             ,3            ,h             ,House                  ,485000.0  ,Private Treaty,First National Mount Druitt Real Estate                      ,15/05/2018,2770    ,4280      ,38.6             ,0       ,2     ,0           ,-33.7314           ,150.813873
95 ,BIRCHGROVE       ,"2/35 Church Street, Birchgrove"                                  ,2            ,t             ,Townhouse              ,1155000.0 ,Auction       ,Coopers Agency                                               ,15/05/2018,2041    ,3302      ,2.9              ,0       ,0     ,0           ,-33.8550148        ,151.1816
96 ,BIRCHGROVE       ,"2/35 Church Street, Birchgrove"                                  ,2            ,t             ,Townhouse              ,1155000.0 ,Auction       ,Coopers Agency                                               ,15/05/2018,2041    ,3302      ,2.9              ,0       ,0     ,0           ,-33.8550148        ,151.1816
97 ,BLACKTOWN        ,"12/14 Filey St, Blacktown"                                       ,3            ,t             ,Townhouse              ,655000.0  ,Private Treaty,HAUS PROPERTIES GROUP Quakers Hill/Harris Park               ,15/05/2018,2148    ,47172     ,29.6             ,1       ,20    ,0           ,-33.79071          ,150.9071
98 ,BOTANY           ,"6/30 Stephen Road, Botany"                                       ,2            ,u             ,Apartment / Unit / Flat,855000.0  ,Auction       ,McGrath Coogee                                               ,15/05/2018,2019    ,10822     ,8.7              ,0       ,4     ,0           ,-33.949073799999994,151.208755
99 ,BROOKLYN         ,"116 Brooklyn Rd, Brooklyn"                                       ,4            ,h             ,House                  ,895000.0  ,Private Treaty,Hawkesbury River Real Estate                                 ,15/05/2018,2083    ,727       ,35.5             ,0       ,1     ,0           ,-33.5476532        ,151.216461
100,CHATSWOOD        ,"49/1C Kooringa Road, Chatswood"                                  ,2            ,u             ,Apartment / Unit / Flat,897000.0  ,Private Treaty,Forsyth Real Estate                                          ,15/05/2018,2067    ,24914     ,8.2              ,0       ,6     ,0           ,-33.7944527        ,151.194473
101,CHIPPENDALE      ,"003/8  Central Park Avenue, Chippendale"                         ,2            ,u             ,Apartment / Unit / Flat,1335000.0 ,Private Treaty,Sky Property Group                                           ,15/05/2018,2008    ,8615      ,2.2              ,0       ,1     ,0           ,-33.884859999999996,151.20071399999998
102,CHIPPENDALE      ,"003/8  Central Park Avenue, Chippendale"                         ,2            ,u             ,Apartment / Unit / Flat,1335000.0 ,Private Treaty,Sky Property Group                                           ,15/05/2018,2008    ,8615      ,2.2              ,0       ,1     ,0           ,-33.884859999999996,151.20071399999998
