,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Postcode,Regionname,Distance,Council Area,Population,Schools,Hospitals,Sports facilities,Woolies,Coles
35,Dandenong North,16 First Av,3,h,670000.0,S,LJ,04-02-2016,3175,South-Eastern Metropolitan,24.7,Greater Dandenong City Council,22451,15,5,47,0,0
36,Deer Park,914 Ballarat Rd,3,h,466000.0,S,HAR,04-02-2016,3023,Western Metropolitan,14.8,Brimbank City Council,18126,16,0,47,1,1
37,Deer Park,91 Pioneer Dr,3,h,466000.0,SP,FN,04-02-2016,3023,Western Metropolitan,14.8,Brimbank City Council,18126,16,0,47,1,1
38,Doncaster,1/3 Katrina St,4,t,1320000.0,PI,Ray,04-02-2016,3108,Eastern Metropolitan,12.4,Manningham City Council,20946,4,0,18,1,2
39,Doreen,15 Lexington Av,4,h,460000.0,SP,Harcourts,04-02-2016,3754,Northern Victoria,25.9,Nillumbik Shire Council,21298,10,0,9,0,0
40,Doreen,5 Turnstone St,3,h,442500.0,S,Ray,04-02-2016,3754,Northern Victoria,25.9,Nillumbik Shire Council,21298,10,0,9,0,0
41,Doveton,75 Chestnut Rd,3,h,415000.0,SP,REMAX,04-02-2016,3177,South-Eastern Metropolitan,28.8,Casey City Council,9358,2,0,9,0,0
42,Edithvale,72 Lochiel Av,3,h,1039000.0,SA,O'Brien,04-02-2016,3196,South-Eastern Metropolitan,27.0,Kingston City Council,5806,5,1,31,0,0
43,Elwood,4 Wilton Gr,3,t,1395000.0,S,Pride,04-02-2016,3184,Southern Metropolitan,7.2,Port Phillip City Council,15543,4,1,9,0,0
44,Epping,1/9 Elaine Cl,3,u,414000.0,S,Harcourts,04-02-2016,3076,Northern Metropolitan,19.6,Whittlesea City Council,32395,11,2,30,1,1
45,Epping,2/9 Elaine Cl,3,u,407000.0,S,Harcourts,04-02-2016,3076,Northern Metropolitan,19.6,Whittlesea City Council,32395,11,2,30,1,1
46,Epping,15 Henry Ct,3,h,498000.0,S,Iconek,04-02-2016,3076,Northern Metropolitan,19.6,Whittlesea City Council,32395,11,2,30,1,1
47,Epping,89 Lyndarum Dr,3,h,436500.0,SP,Harcourts,04-02-2016,3076,Northern Metropolitan,19.6,Whittlesea City Council,32395,11,2,30,1,1
48,Epping,2 McFarlane Cr,3,h,544000.0,S,Harcourts,04-02-2016,3076,Northern Metropolitan,19.6,Whittlesea City Council,32395,11,2,30,1,1
49,Essendon,2/96 Cooper St,3,h,911000.0,S,Rendina,04-02-2016,3040,Western Metropolitan,7.5,Moonee Valley City Council,20596,10,1,28,1,1
50,Eynesbury,4 Belgrave Av,4,h,398500.0,S,PRDNationwide,04-02-2016,3338,Western Victoria,29.8,Melton City Council,2577,6,0,14,0,0
51,Fawkner,220 McBryde St,3,h,645000.0,SP,YPA,04-02-2016,3060,Northern Metropolitan,13.1,Hume City Council,14043,6,0,12,0,0
52,Ferntree Gully,17 Hancock Dr,4,h,837000.0,S,Ray,04-02-2016,3156,Eastern Metropolitan,24.8,Knox City Council,26428,11,1,45,1,1
53,Footscray,2/3 Eldridge St,1,u,216000.0,S,Sweeney,04-02-2016,3011,Western Metropolitan,5.1,Maribyrnong City Council,16345,5,8,28,1,1
54,Gisborne South,28 Fielding Dr,3,h,700000.0,S,Daniel,04-02-2016,3437,Northern Victoria,45.9,Macedon Ranges Shire Council,799,4,0,23,0,0
55,Glen Waverley,9 Kawana Cr,4,h,1250000.0,SP,JRW,04-02-2016,3150,Eastern Metropolitan,16.7,Monash City Council,40327,21,2,51,0,0
56,Hillside,13 Galli Ct,3,h,625000.0,S,Barry,04-02-2016,3037,Western Metropolitan,18.0,Brimbank City Council,193,8,1,17,0,0
57,Hillside,17 Queens Pde,4,h,735000.0,S,Ray,04-02-2016,3037,Western Metropolitan,18.0,Brimbank City Council,193,8,1,17,0,0
58,Hoppers Crossing,6 Merrett Av,3,h,475000.0,S,hockingstuart,04-02-2016,3029,Western Metropolitan,18.4,Wyndham City Council,38701,19,0,47,1,1
59,Jacana,69 Lorraine Cr,2,h,461000.0,S,RE,04-02-2016,3047,Northern Metropolitan,14.0,Hume City Council,2128,13,1,31,0,0
60,Keilor Lodge,15 Laguna Cl,3,h,680000.0,PI,YPA,04-02-2016,3038,Western Metropolitan,15.5,Brimbank City Council,1752,7,0,13,0,0
61,Keysborough,24 Tulip Wy,3,h,737500.0,S,Area,04-02-2016,3173,South-Eastern Metropolitan,25.2,Greater Dandenong City Council,25785,6,0,33,1,1
62,Kilsyth,74 Alpine Wy,4,h,850000.0,S,Barry,04-02-2016,3137,Eastern Metropolitan,26.0,Maroondah City Council,10891,4,0,18,1,1
63,Laverton,40 Cropley Cr,4,h,482000.0,SP,hockingstuart,04-02-2016,3028,Western Metropolitan,15.5,Hobsons Bay City Council,4915,8,0,25,1,1
64,Maidstone,26 Inkerman St,3,h,1200000.0,SP,Biggin,04-02-2016,3012,Western Metropolitan,6.4,Maribyrnong City Council,9032,6,0,29,0,0
65,Maidstone,12 Lindenow St,2,h,927000.0,S,Purplebricks,04-02-2016,3012,Western Metropolitan,6.4,Maribyrnong City Council,9032,6,0,29,0,0
66,Malvern East,32/997 Dandenong Rd,2,u,350000.0,VB,Ray,04-02-2016,3145,Southern Metropolitan,8.4,Stonnington City Council,21707,6,1,31,0,0
67,Maribyrnong,6 Kynoch La,3,t,560000.0,VB,Biggin,04-02-2016,3032,Western Metropolitan,4.3,Maribyrnong City Council,12216,6,1,25,0,0
68,Maribyrnong,53 Wests Rd,3,t,560000.0,VB,Biggin,04-02-2016,3032,Western Metropolitan,4.3,Maribyrnong City Council,12216,6,1,25,0,0
69,Meadow Heights,12 Ellam Ct,3,h,290000.0,S,Raine,04-02-2016,3048,Northern Metropolitan,17.4,Hume City Council,14842,2,0,0,0,0
70,Meadow Heights,130 Rokewood Cr,1,h,257500.0,S,Raine,04-02-2016,3048,Northern Metropolitan,17.4,Hume City Council,14842,2,0,0,0,0
71,Melbourne,709/480 St Kilda Rd,2,u,520000.0,VB,Lucas,04-02-2016,3000,Northern Metropolitan,0.0,Melbourne City Council,47285,3,2,5,0,0
72,Mentone,4/12 Collins St,1,u,245000.0,PI,C21,04-02-2016,3194,South-Eastern Metropolitan,20.0,Kingston City Council,12965,8,0,20,1,1
73,Mitcham,1/32 Alwyn St,3,u,812000.0,S,Fletchers,04-02-2016,3132,Eastern Metropolitan,17.2,Whitehorse City Council,16148,5,2,11,1,1
74,Mont Albert,50/781 Whitehorse Rd,2,u,750000.0,S,RW,04-02-2016,3127,Eastern Metropolitan,10.2,Boroondara City Council,4840,5,0,15,0,0
75,Moorabbin,52 Bulli St,3,h,1417250.0,S,Buxton,04-02-2016,3189,Southern Metropolitan,14.3,Kingston City Council,5895,8,1,9,0,0
76,Nunawading,117 Rooks Rd,3,h,835000.0,S,Noel,04-02-2016,3131,Eastern Metropolitan,15.4,Manningham City Council,11876,4,2,20,0,0
77,Oakleigh South,4 Montrose St,4,h,876000.0,S,Buxton,04-02-2016,3167,South-Eastern Metropolitan,15.5,Kingston City Council,9261,3,0,2,0,0
78,Ormond,7/30 Walsh St,1,u,250000.0,VB,Ray,04-02-2016,3204,Southern Metropolitan,11.4,Glen Eira City Council,8417,9,2,28,0,0
79,Port Melbourne,404/101 Bay St,2,u,550000.0,S,Buxton,04-02-2016,3207,Southern Metropolitan,3.5,Melbourne City Council,16175,2,0,21,1,1
80,Richmond,234 Coppin St,3,h,1102000.0,S,Dingle,04-02-2016,3121,Northern Metropolitan,2.4,Yarra City Council,27705,9,2,47,0,0
81,Ringwood,111 New St,3,h,595000.0,SA,Noel,04-02-2016,3134,Eastern Metropolitan,19.9,Maroondah City Council,17471,12,1,46,1,1
82,Ringwood East,6 Rotherwood Av,4,h,1010000.0,S,Ray,04-02-2016,3135,Eastern Metropolitan,21.3,Maroondah City Council,10265,6,3,20,0,0
83,Roxburgh Park,16 Harvey Ct,3,h,424500.0,S,Raine,04-02-2016,3064,Northern Metropolitan,20.6,Hume City Council,21817,17,1,43,1,1
84,Roxburgh Park,5 Shepherd Av,4,h,457000.0,S,YPA,04-02-2016,3064,Northern Metropolitan,20.6,Hume City Council,21817,17,1,43,1,1
85,St Albans,23 Glyndon Av,3,h,600000.0,SP,Ray,04-02-2016,3021,Western Metropolitan,14.0,Brimbank City Council,37309,18,4,32,0,0
86,St Albans,22 Grace St,3,h,550000.0,SP,Sweeney,04-02-2016,3021,Western Metropolitan,14.0,Brimbank City Council,37309,18,4,32,0,0
87,St Albans,71 Oleander Dr,3,h,580000.0,SP,Ray,04-02-2016,3021,Western Metropolitan,14.0,Brimbank City Council,37309,18,4,32,0,0
88,Strathmore,24 Balmoral Av,4,h,1500000.0,SP,Rendina,04-02-2016,3041,Western Metropolitan,8.2,Moonee Valley City Council,8419,5,0,18,0,0
89,Surrey Hills,2/247 Elgar Rd,3,u,930000.0,S,Fletchers,04-02-2016,3127,Southern Metropolitan,10.2,Boroondara City Council,13605,5,0,15,0,0
90,Sydenham,30 Carrington St,3,h,639000.0,S,Bells,04-02-2016,3037,Western Metropolitan,18.0,Brimbank City Council,10838,8,1,17,0,0
91,Taylors Hill,4 Woronora Wy,3,h,540500.0,S,Prof.,04-02-2016,3037,Western Metropolitan,18.0,Melton City Council,14921,8,1,17,1,1
92,Templestowe,3 Stanley Pl,5,h,1450000.0,S,Fletchers,04-02-2016,3106,Eastern Metropolitan,15.5,Manningham City Council,16618,4,0,21,0,0
93,Thomastown,6 Milford St,3,h,580000.0,S,Ray,04-02-2016,3074,Northern Metropolitan,15.3,Whittlesea City Council,20523,7,0,22,0,0
94,Thornbury,3/125 Fyffe St,2,t,805000.0,S,Nelson,04-02-2016,3071,Northern Metropolitan,7.0,Darebin City Council,18568,7,0,19,0,0
95,Thornbury,9 Normanby Av,5,h,1645000.0,S,Nelson,04-02-2016,3071,Northern Metropolitan,7.0,Darebin City Council,18568,7,0,19,0,0
96,West Footscray,742 Barkly St,3,h,1415000.0,PI,Biggin,04-02-2016,3012,Western Metropolitan,6.4,Maribyrnong City Council,11450,6,0,29,0,0
97,Williams Landing,35 Moorhen Bvd,4,h,600500.0,S,hockingstuart,04-02-2016,3027,Western Metropolitan,17.6,Wyndham City Council,6646,0,0,0,0,0
98,Yarraville,29 Newcastle St,2,h,890000.0,S,hockingstuart,04-02-2016,3013,Western Metropolitan,6.3,Maribyrnong City Council,14965,4,0,20,1,1
99,Airport West,180 Parer Rd,3,h,830000.0,S,Barry,16-04-2016,3042,Western Metropolitan,10.4,Moonee Valley City Council,7564,6,0,22,1,1
100,Albert Park,86 Mills St,3,h,2000000.0,VB,RT,16-04-2016,3206,Southern Metropolitan,3.0,Port Phillip City Council,6215,4,0,33,0,0
101,Alphington,44 Naroon Rd,3,h,1540000.0,S,Nelson,16-04-2016,3078,Northern Metropolitan,5.7,Darebin City Council,5080,4,1,15,0,0
102,Altona,1/57 Blyth St,3,u,730000.0,SP,Barlow,16-04-2016,3018,Western Metropolitan,11.0,Hobsons Bay City Council,10762,4,1,25,1,1
103,Altona,22 Fenfield St,3,h,678000.0,S,hockingstuart,16-04-2016,3018,Western Metropolitan,11.0,Hobsons Bay City Council,10762,4,1,25,1,1
104,Altona Meadows,315 Victoria St,3,h,514000.0,S,Greg,16-04-2016,3028,Western Metropolitan,15.5,Hobsons Bay City Council,19160,8,0,25,0,0
105,Armadale,8/569 Orrong Rd,1,u,324000.0,S,Jellis,16-04-2016,3143,Southern Metropolitan,6.3,Stonnington City Council,9054,2,0,7,0,0
106,Ascot Vale,7 Angler Pde,4,h,1640000.0,S,Raine,16-04-2016,3032,Western Metropolitan,4.3,Moonee Valley City Council,14750,6,1,25,0,0
107,Ascot Vale,26 Ayr St,6,h,1430000.0,S,Nelson,16-04-2016,3032,Western Metropolitan,4.3,Moonee Valley City Council,14750,6,1,25,0,0
108,Ascot Vale,2/127 Epsom Rd,2,u,610000.0,SP,Brad,16-04-2016,3032,Western Metropolitan,4.3,Moonee Valley City Council,14750,6,1,25,0,0
109,Ascot Vale,57 The Parade,3,h,940000.0,S,Nelson,16-04-2016,3032,Western Metropolitan,4.3,Moonee Valley City Council,14750,6,1,25,0,0
110,Ashburton,95 Nicholas St,2,h,1445000.0,S,Jellis,16-04-2016,3147,Southern Metropolitan,10.2,Boroondara City Council,7751,7,1,34,0,0
111,Ashwood,2/21 Electra Av,2,t,690000.0,S,Buxton,16-04-2016,3147,Southern Metropolitan,10.2,Monash City Council,6886,7,1,34,0,0
112,Attwood,3 Mitchell Ct,4,h,660000.0,SP,Barry,16-04-2016,3049,Northern Metropolitan,16.5,Hume City Council,3419,1,0,7,0,0
113,Avondale Heights,16a Arbor Tce,3,u,665000.0,S,Brad,16-04-2016,3034,Western Metropolitan,9.5,Moonee Valley City Council,11633,2,0,6,1,1
114,Avondale Heights,40a Herbert St,3,h,560500.0,S,Nelson,16-04-2016,3034,Western Metropolitan,9.5,Moonee Valley City Council,11633,2,0,6,1,1
115,Balwyn,7 Power St,5,h,2020000.0,S,Marshall,16-04-2016,3103,Southern Metropolitan,7.9,Boroondara City Council,13312,7,0,9,1,1
116,Balwyn,6/29 Weir St,2,u,460000.0,VB,Jellis,16-04-2016,3103,Southern Metropolitan,7.9,Boroondara City Council,13312,7,0,9,1,1
117,Balwyn North,3 Alpha St,4,h,2170000.0,SP,Fletchers,16-04-2016,3104,Southern Metropolitan,9.7,Boroondara City Council,20406,7,0,35,1,1
118,Balwyn North,237a Balwyn Rd,5,h,1310000.0,PI,Appleby,16-04-2016,3104,Southern Metropolitan,9.7,Boroondara City Council,20406,7,0,35,1,1
119,Balwyn North,48 Hosken St,4,h,2525000.0,PI,Jellis,16-04-2016,3104,Southern Metropolitan,9.7,Boroondara City Council,20406,7,0,35,1,1
120,Balwyn North,17 Stephens St,4,h,3360000.0,S,Assisi,16-04-2016,3104,Southern Metropolitan,9.7,Boroondara City Council,20406,7,0,35,1,1
121,Balwyn North,7 Sunburst Av,3,h,1845000.0,S,hockingstuart,16-04-2016,3104,Southern Metropolitan,9.7,Boroondara City Council,20406,7,0,35,1,1
122,Beaumaris,458 Balcombe Rd,3,h,1050000.0,VB,Hodges,16-04-2016,3193,Southern Metropolitan,17.3,Bayside City Council,13349,6,0,26,0,0
123,Beaumaris,2 Banksia Av,4,h,3000000.0,VB,Kay,16-04-2016,3193,Southern Metropolitan,17.3,Bayside City Council,13349,6,0,26,0,0
124,Beaumaris,4 Church St,4,h,1250000.0,SP,Buxton,16-04-2016,3193,Southern Metropolitan,17.3,Bayside City Council,13349,6,0,26,0,0
125,Beaumaris,21 Lang St,4,h,1927500.0,S,Hodges,16-04-2016,3193,Southern Metropolitan,17.3,Bayside City Council,13349,6,0,26,0,0
126,Beaumaris,6 Martin St,4,h,1330000.0,PI,OBrien,16-04-2016,3193,Southern Metropolitan,17.3,Bayside City Council,13349,6,0,26,0,0
127,Bellfield,8 Erica Ct,3,h,770000.0,S,Haughton,16-04-2016,3081,Eastern Metropolitan,8.8,Banyule City Council,1793,2,2,19,0,0
128,Bentleigh,4 Leckie St,3,h,1327500.0,S,hockingstuart,16-04-2016,3204,Southern Metropolitan,11.4,Glen Eira City Council,16153,9,2,28,1,1
129,Bentleigh,9b Marquis Rd,4,t,1435000.0,S,hockingstuart,16-04-2016,3204,Southern Metropolitan,11.4,Glen Eira City Council,16153,9,2,28,1,1
130,Bentleigh,10 Osborne Av,5,h,1960000.0,S,Buxton,16-04-2016,3204,Southern Metropolitan,11.4,Glen Eira City Council,16153,9,2,28,1,1
131,Bentleigh,43 Wavell St,4,h,1560000.0,PI,Buxton,16-04-2016,3204,Southern Metropolitan,11.4,Glen Eira City Council,16153,9,2,28,1,1
132,Bentleigh East,32a Argyle St,3,t,920000.0,S,Buxton,16-04-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
133,Bentleigh East,12 Barrani St,3,h,1050000.0,S,Woodards,16-04-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
134,Bentleigh East,45 Browns Rd,3,h,1560000.0,S,Woodards,16-04-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
135,Bentleigh East,69a Deakin St,3,h,1000000.0,VB,Woodards,16-04-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
136,Bentleigh East,25 Glover St,4,h,800000.0,PI,Hodges,16-04-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
137,Bentleigh East,21 Highview Rd,2,h,722000.0,S,Buxton,16-04-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
138,Bentleigh East,18 Normanby Rd,3,h,930000.0,SP,Buxton,16-04-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
139,Bentleigh East,6/48 Pasadena Cr,3,h,780000.0,S,Buxton,16-04-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
140,Bentleigh East,93 Tudor St,3,h,921000.0,S,Buxton,16-04-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
141,Bentleigh East,23 York St,4,h,1035000.0,PI,First,16-04-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
142,Black Rock,16 Cullinane St,2,h,1370000.0,S,Thomson,16-04-2016,3193,Southern Metropolitan,17.3,Bayside City Council,6159,6,0,26,0,0
143,Blackburn,2/7 Doulton Rd,2,u,745500.0,S,Barry,16-04-2016,3130,Eastern Metropolitan,13.4,Whitehorse City Council,13940,11,1,24,0,0
144,Blackburn,11 Halley St,4,h,950000.0,PI,Noel,16-04-2016,3130,Eastern Metropolitan,13.4,Whitehorse City Council,13940,11,1,24,0,0
145,Blackburn,356 Middleborough Rd,3,h,899000.0,PI,Noel,16-04-2016,3130,Eastern Metropolitan,13.4,Whitehorse City Council,13940,11,1,24,0,0
146,Blackburn,3/180 Surrey Rd,2,u,487000.0,S,Fletchers,16-04-2016,3130,Eastern Metropolitan,13.4,Whitehorse City Council,13940,11,1,24,0,0
147,Blackburn North,17 Merle St,2,h,1205000.0,S,Noel,16-04-2016,3130,Eastern Metropolitan,13.4,Whitehorse City Council,7436,11,1,24,0,0
148,Blackburn North,2/10 Middlefield Dr,3,h,600000.0,S,Ray,16-04-2016,3130,Eastern Metropolitan,13.4,Whitehorse City Council,7436,11,1,24,0,0
149,Blackburn North,1 Shafer Rd,3,h,1075000.0,S,Fletchers,16-04-2016,3130,Eastern Metropolitan,13.4,Whitehorse City Council,7436,11,1,24,0,0
150,Blackburn South,3 Ashcroft Gr,5,h,1330000.0,S,Jellis,16-04-2016,3130,Eastern Metropolitan,13.4,Whitehorse City Council,10793,11,1,24,0,0
151,Blackburn South,40 Indra Rd,4,h,911000.0,S,Philip,16-04-2016,3130,Eastern Metropolitan,13.4,Whitehorse City Council,10793,11,1,24,0,0
152,Blackburn South,9 Sandgate Rd,3,h,850000.0,PI,Allens,16-04-2016,3130,Eastern Metropolitan,13.4,Whitehorse City Council,10793,11,1,24,0,0
153,Bonbeach,18 Cannes Av,4,h,1110000.0,SP,Hodges,16-04-2016,3196,South-Eastern Metropolitan,27.0,Kingston City Council,6416,5,1,31,0,0
154,Box Hill,55 Albion Rd,4,h,1600000.0,S,Fletchers,16-04-2016,3128,Eastern Metropolitan,10.9,Whitehorse City Council,11395,4,3,28,1,1
155,Briar Hill,97 Fernside Av,3,h,795000.0,SA,Morrison,16-04-2016,3088,Eastern Metropolitan,16.1,Banyule City Council,3152,11,1,30,0,0
156,Brighton,2/61 Black St,2,u,800000.0,VB,hockingstuart,16-04-2016,3186,Southern Metropolitan,10.5,Bayside City Council,23253,8,4,34,1,2
157,Brighton,34 Middle Cr,4,h,4375000.0,S,hockingstuart,16-04-2016,3186,Southern Metropolitan,10.5,Bayside City Council,23253,8,4,34,1,2
158,Brighton,48 Montclair Av,2,h,1036000.0,S,Buxton,16-04-2016,3186,Southern Metropolitan,10.5,Bayside City Council,23253,8,4,34,1,2
159,Brighton,31 Orchard St,5,h,2100000.0,PI,Hodges,16-04-2016,3186,Southern Metropolitan,10.5,Bayside City Council,23253,8,4,34,1,2
160,Brighton East,6 Balfour St,3,h,1620000.0,S,Marshall,16-04-2016,3187,Southern Metropolitan,10.3,Bayside City Council,15998,4,0,2,0,0
161,Brighton East,11 Burwah Av,4,h,2127000.0,S,hockingstuart,16-04-2016,3187,Southern Metropolitan,10.3,Bayside City Council,15998,4,0,2,0,0
162,Brighton East,2/111 Thomas St,3,t,940000.0,S,hockingstuart,16-04-2016,3187,Southern Metropolitan,10.3,Bayside City Council,15998,4,0,2,0,0
163,Broadmeadows,108 Waranga Cr,4,h,402500.0,S,YPA,16-04-2016,3047,Northern Metropolitan,14.0,Hume City Council,11970,13,1,31,0,0
164,Brunswick,311 Albion St,3,h,825000.0,S,Nelson,16-04-2016,3056,Northern Metropolitan,5.2,Moreland City Council,24473,3,1,24,1,1
165,Brunswick,46 Cassels Rd,2,h,860000.0,S,Nelson,16-04-2016,3056,Northern Metropolitan,5.2,Moreland City Council,24473,3,1,24,1,1
166,Brunswick,50 Davies St,2,h,830000.0,S,Nelson,16-04-2016,3056,Northern Metropolitan,5.2,Moreland City Council,24473,3,1,24,1,1
167,Brunswick,58 Donald St,2,h,936000.0,S,Nelson,16-04-2016,3056,Northern Metropolitan,5.2,Moreland City Council,24473,3,1,24,1,1
168,Brunswick,175 Edward St,3,h,1261000.0,S,Nelson,16-04-2016,3056,Northern Metropolitan,5.2,Moreland City Council,24473,3,1,24,1,1
169,Brunswick,84 Stewart St,3,h,1045000.0,S,Jellis,16-04-2016,3056,Northern Metropolitan,5.2,Moreland City Council,24473,3,1,24,1,1
170,Brunswick East,2/146 Blyth St,2,u,510000.0,S,Nelson,16-04-2016,3057,Northern Metropolitan,4.0,Moreland City Council,11504,3,0,8,1,1
171,Brunswick East,89a Hickford St,3,h,1574000.0,S,Woodards,16-04-2016,3057,Northern Metropolitan,4.0,Moreland City Council,11504,3,0,8,1,1
